available,camera_source,track_id,location_x
1,2,4827,27.000366
1,2,4827,27.020111
1,2,4827,26.782497
1,2,4827,26.950516
1,2,4827,26.647934
1,2,4827,26.596428
1,2,4827,25.696686
1,2,4827,25.517509
1,2,4827,25.478191
1,2,4827,25.188774
1,2,4827,24.914986
1,2,4827,24.698433
1,2,5064,20.609745
1,2,5064,22.603481
1,2,5064,23.396423
1,2,5064,21.905354
1,2,4827,23.994736
1,2,4827,23.65424
1,2,4827,23.568504
1,2,4827,23.640358
1,2,4827,23.245453
1,2,4827,23.019478
1,2,4827,22.89151
1,2,4827,22.480396
1,2,4827,22.245583
1,2,4827,22.167294
1,2,4827,21.60857
1,2,4827,21.883095
1,2,4827,21.276123
1,2,4827,21.270592
1,2,4827,20.919205
1,2,4827,20.682854
1,2,4827,20.329723
1,2,4827,20.590313
1,2,4827,20.209965
1,2,4827,20.38702
1,2,4827,20.041924
1,2,4827,20.036495
1,2,4827,19.832474
1,2,4827,19.517708
1,2,4827,19.184391
1,2,4827,18.923496
1,2,5196,17.97934
1,2,5196,15.790895
1,2,5196,14.991293
1,2,5196,15.221214
1,2,5196,14.684485
1,2,4827,17.958916
1,2,4827,17.781208
1,2,4827,17.561121
1,2,4827,17.227448
1,2,4827,17.216572
1,2,5237,14.322062
1,2,4827,16.942703
1,2,4827,16.915848
1,2,4827,16.372364
1,2,5258,13.056489
1,2,5258,12.800297
1,2,5258,12.345362
1,2,4827,16.006149
1,2,4827,15.743117
1,2,4827,15.159221
1,2,5287,12.244416
1,2,4827,15.364058
1,2,4827,14.755689
1,2,4827,14.399469
1,2,5309,12.509914
1,2,5309,11.908461
1,2,5309,10.90455
1,2,5309,9.869553
1,2,4827,13.494078
1,2,4827,13.413726
1,2,4827,13.411268
1,2,4827,12.93176
1,2,4827,12.786088
1,2,4827,12.613477
1,2,4827,12.553284
1,2,4827,12.169213
1,2,4827,12.187194
1,2,4827,11.987824
1,2,4827,11.663221
1,2,4827,11.43961
1,2,4827,11.34625
1,2,4827,11.214711
1,2,4827,10.97686
1,2,4827,11.026543
1,2,4827,10.528303
1,2,4827,10.502954
1,2,4827,10.226662
1,2,4827,10.12809
1,2,4827,9.864405
1,2,4827,9.584045
1,2,4827,9.679663
1,2,4827,9.373566
1,2,4827,9.153784
1,2,4827,9.073587
1,2,4827,8.852103
1,2,4827,8.631058
1,2,4827,8.341187
1,2,4827,8.66271
1,2,4827,8.468235
1,2,4827,8.276643
1,2,4827,7.962894
1,2,4827,7.759981
1,2,4827,7.635601
1,2,4827,7.439717
1,2,4827,7.277434
1,2,4827,7.100745
1,2,4827,6.922593
1,2,4827,6.726748
1,2,4827,6.515423
1,2,4827,6.346374
1,2,4827,6.040907
1,2,4827,5.806247
1,2,4827,5.666979
1,2,4827,5.575379
1,2,4827,5.316236
1,2,4827,5.138275
1,2,4827,4.928489
1,2,4827,4.944706
1,1,3544,5.925947
1,2,4827,3.937434
1,2,4827,4.088278
1,2,4827,4.094038
1,2,4827,4.133341
1,2,4827,4.106409
1,2,4827,4.128804
1,2,4827,4.1112
1,2,4827,4.031804
1,2,4827,4.075279
1,2,4827,4.042484
1,2,4827,4.022425
1,2,4827,4.093255
1,2,4827,4.131665
1,2,4827,4.105823
1,2,4827,3.963099
1,2,4827,4.047467
1,2,4827,3.938085
1,2,4827,4.001223
1,2,4827,4.019951
1,2,4827,4.164805
1,2,4827,4.092679
1,2,4827,4.168216
1,2,4827,4.251487
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
